Attrition_Flag	Selected	Customer_Age	Gender=F	Gender=M	Dependent_count	Education_Level=College	Education_Level=Doctorate	Education_Level=Graduate	Education_Level=High School	Education_Level=Post-Graduate	Education_Level=Uneducated	Education_Level=Unknown	Marital_Status=Divorced	Marital_Status=Married	Marital_Status=Single	Marital_Status=Unknown	Income_Category=$40K - $60K	Income_Category=$60K - $80K	Income_Category=$80K - $120K	Income_Category=$120K +	Income_Category=Less than $40K	Income_Category=Unknown	Card_Category=Blue	Card_Category=Gold	Card_Category=Platinum	Card_Category=Silver	Months_on_book	Total_Relationship_Count	Months_Inactive_12_mon	Contacts_Count_12_mon	Credit_Limit	Total_Revolving_Bal	Avg_Open_To_Buy	Total_Amt_Chng_Q4_Q1	Total_Trans_Amt	Total_Trans_Ct	Total_Ct_Chng_Q4_Q1	Avg_Utilization_Ratio
	No	47	0	1	3	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	42	6	3	3	13189	1205	11984	0.708	3821	83	0.66	0.091
	No	54	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	48	1	1	2	8572	2128	6444	0.821	7850	94	0.516	0.248
	No	46	1	0	4	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	36	2	3	3	2881	2450	431	0.629	2450	49	0.531	0.85
	No	39	0	1	3	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	36	4	2	1	12618	1585	11033	0.586	4768	82	0.864	0.126
	No	42	0	1	4	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	19	5	3	2	8374	0	8374	0.885	4493	59	1.034	0
	No	41	0	1	2	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	36	6	2	0	27000	0	27000	0.61	1209	39	0.3	0
	No	41	0	1	3	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	36	3	3	1	23260	1476	21784	0.975	15140	105	0.81	0.063
	No	44	0	1	3	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	30	5	2	0	4489	0	4489	0.693	3773	64	0.455	0
	No	32	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	26	6	2	3	2778	2312	466	0.727	1680	33	1.062	0.832
	No	46	1	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	27	6	3	3	3901	1001	2900	0.822	4313	72	1.323	0.257
	No	43	0	1	3	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	33	3	3	2	28170	1859	26311	0.568	1013	28	0.75	0.066
	No	50	1	0	4	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	36	3	2	1	34516	2096	32420	0.666	7042	73	0.553	0.061
	No	43	1	0	2	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	34	3	1	3	2032	1008	1024	0.879	4736	86	0.83	0.496
	No	38	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	32	6	3	3	1755	750	1005	0.659	5000	79	0.837	0.427
	No	55	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	46	4	1	2	19849	2205	17644	0.796	3657	66	0.737	0.111
	No	46	1	0	2	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	33	5	3	6	3001	0	3001	0.74	2577	39	0.444	0
	No	35	1	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	27	3	3	2	5780	938	4842	0.988	2960	65	0.757	0.162
	No	49	0	1	2	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	37	5	3	3	2608	1589	1019	0.982	2073	47	0.516	0.609
	No	54	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	36	3	1	2	16286	1710	14576	1.223	2552	49	1.227	0.105
	No	43	1	0	4	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	33	5	2	4	1438.3	0	1438.3	0.679	3932	62	0.771	0
	No	48	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	36	3	1	0	2708	2517	191	0.568	2198	41	0.864	0.929
	No	37	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	29	5	3	0	4671	1933	2738	0.986	2468	58	0.706	0.414
	No	46	0	1	4	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	28	4	3	2	19843	1178	18665	0.909	1638	49	0.633	0.059
	No	42	0	1	3	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	36	6	1	0	29535	895	28640	0.952	3934	74	0.644	0.03
	No	45	0	1	5	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	40	3	3	1	1438.3	0	1438.3	1.23	2132	31	0.107	0
	No	47	1	0	4	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	36	1	1	0	1438.3	0	1438.3	0.61	5216	78	0.66	0
	No	37	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	27	4	2	2	1793	792	1001	0.723	2374	40	0.429	0.442
	No	41	1	0	5	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	36	2	1	1	19281	1805	17476	0.893	15423	110	0.692	0.094
	No	52	1	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	36	3	1	3	4950	1829	3121	0.671	4529	73	0.872	0.369
	No	51	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	31	2	5	2	34516	1991	32525	0.718	7520	79	0.681	0.058
	No	56	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	36	6	2	2	4263	0	4263	0.64	4876	70	1.188	0
	No	53	0	1	3	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	43	4	3	4	34516	1084	33432	0.686	14319	124	0.699	0.031
